"","Lon","Lat","Timestamp","bias","std","MSE","Cov","Z"
"3634",-78.8197,35.8652,2020-05-05 10:00:00,0.186220464447902,2.18588026906388,4.81275061206196,1,2
"345",-82.5844,35.6062,2020-05-05 10:00:00,-0.757659029054577,2.16774185150761,5.27315193908557,1,1
"1275",-80.851473,35.281791,2020-05-05 10:00:00,2.33181077093879,2.17502722605347,10.16808490554,1,1
"1985",-80.342,36.026,2020-05-05 10:00:00,-0.658279939880918,2.02050008329936,4.51575306586233,1,1
"3635",-78.8197,35.8652,2020-05-05 10:00:00,-0.26487745937305,2.30734620074442,5.39400655857365,1,1
"35",-82.5844,35.6062,2020-05-05 11:00:00,-3.05991191436838,3.45041457829186,21.2684216857826,1,1000
"128",-80.851473,35.281791,2020-05-05 11:00:00,1.17879685606613,3.08474666117458,10.9052239914991,1,1000
"199",-80.342,36.026,2020-05-05 11:00:00,0.462498835569835,3.01619291955135,9.31132490085512,1,1000
"364",-78.8197,35.8652,2020-05-05 11:00:00,-2.31162376079903,3.28546067524832,16.1378562600938,1,1000
"351",-82.5844,35.6062,2020-05-05 11:00:00,-3.05523171630125,3.4165058849672,21.0069533023086,1,5
"1281",-80.851473,35.281791,2020-05-05 11:00:00,1.32621958077756,2.99863378983032,10.75066298195,1,5
"1991",-80.342,36.026,2020-05-05 11:00:00,0.387158306040754,3.00004835266795,9.15018167228205,1,5
"3641",-78.8197,35.8652,2020-05-05 11:00:00,-2.19406221202589,3.20114964261229,15.0612680246367,1,5
"352",-82.5844,35.6062,2020-05-05 11:00:00,-3.29222604878136,3.55710741143412,23.4917654927541,1,4
"1282",-80.851473,35.281791,2020-05-05 11:00:00,1.10608909319689,3.19180944902691,11.4110806409866,1,4
"1992",-80.342,36.026,2020-05-05 11:00:00,0.420991592645137,3.15557746840248,10.1349030801673,1,4
"3642",-78.8197,35.8652,2020-05-05 11:00:00,-2.42907671153346,3.3560517716621,17.1634971645905,1,4
"353",-82.5844,35.6062,2020-05-05 11:00:00,-3.07515478502358,3.48228556818729,21.5828897302589,1,3
"1283",-80.851473,35.281791,2020-05-05 11:00:00,1.11101639775592,3.12725275850912,11.0140672516855,1,3
"1993",-80.342,36.026,2020-05-05 11:00:00,0.353142995841862,3.02761587578601,9.29116786682367,1,3
"3643",-78.8197,35.8652,2020-05-05 11:00:00,-2.40486018868754,3.32888799082927,16.8648477826216,1,3
"3510",-82.5844,35.6062,2020-05-05 11:00:00,-1.15725861559381,2.96382271449272,10.1234925863091,1,2
"1284",-80.851473,35.281791,2020-05-05 11:00:00,2.57251294188624,2.68234835517901,13.8128155347038,1,2
